N,K,T2,D2
2772,2493,4.7159333333333334e-06,2.4495538461538465e-06
2772,2770,2.3767999999999998e-06,1.4647089743589743e-06
3659,0,3.2829000000000004e-06,1.9744058823529417e-06
3659,365,6.3859000000000001e-06,3.2726000000000007e-06
3659,730,1.0148066666666669e-05,4.924365384615386e-06
3659,1095,2.020313623188406e-05,9.8645754475703343e-06
3659,1460,2.1644573118279568e-05,9.4148030303030288e-06
3659,1825,2.1642812260536396e-05,1.0383707559681695e-05
3659,2190,1.8105e-05,7.6852217687074833e-06
3659,2555,1.7206682051282051e-05,8.8481787330316749e-06
3659,2920,1.0383933333333332e-05,4.8743190476190458e-06
3659,3285,7.7388450980392145e-06,3.8400895424836586e-06
3659,3650,2.9323431372549014e-06,1.482655555555555e-06
4829,0,5.6354699248120296e-06,3.2935378151260507e-06
4829,482,1.0151666666666666e-05,4.8664345238095226e-06
4829,964,1.9046363768115945e-05,1.0986407030527292e-05
4829,1446,1.8902766666666668e-05,8.6472589743589749e-06
4829,1928,2.4201333333333332e-05,1.1038189743589742e-05
4829,2410,3.5579839999999997e-05,1.7382271578947364e-05
4829,2892,2.7625256923076923e-05,1.5250803338171261e-05
4829,3374,1.9197033333333333e-05,8.9610371794871783e-06
4829,3856,1.3769933333333333e-05,6.6058000000000003e-06
4829,4338,8.5983666666666671e-06,4.3823830188679248e-06
4829,4820,4.0977816091954025e-06,2.5245641025641027e-06
6374,0,5.4530855683269485e-06,3.3928648275862071e-06
6374,637,1.6379569565217391e-05,1.0933113793103448e-05
6374,1274,2.1463669230769232e-05,1.0425734143049933e-05
6374,1911,2.6847372413793101e-05,1.2581093982420554e-05
6374,2548,3.2910266666666669e-05,1.4693115384615389e-05
6374,3185,4.1013666666666663e-05,1.6086046376811593e-05
6374,3822,3.2701613793103451e-05,1.5029799999999996e-05
6374,4459,2.5939500000000001e-05,1.2040201282051283e-05
6374,5096,1.8618633333333335e-05,8.9109692307692324e-06
6374,5733,1.3578666666666668e-05,7.1417375000000007e-06
6374,6370,8.8903948717948703e-06,6.2268797202797188e-06
8413,0,1.3052833333333335e-05,8.5625815602836883e-06
8413,841,2.2001722570532913e-05,1.5762252873563217e-05
8413,1682,2.576997364341085e-05,1.2151624358974357e-05
8413,2523,3.8804072713643175e-05,1.1480351449275361e-05
8413,3364,4.511157816091954e-05,1.8932329487179488e-05
8413,4205,5.4066366666666661e-05,2.1252749999999997e-05
8413,5046,4.4967666666666666e-05,2.0807774358974362e-05
8413,5887,3.5726366666666664e-05,1.5950390196078429e-05
8413,6728,3.4462299999999997e-05,1.918434927536232e-05
8413,7569,1.5547299999999999e-05,5.6641572327044025e-06
8413,8410,7.2385666666666671e-06,4.3941692307692302e-06
11105,0,9.5545333333333348e-06,5.6789371794871814e-06
11105,1110,2.090146666666667e-05,1.0409861904761905e-05
11105,2220,3.3797200000000002e-05,1.5695756410256413e-05
11105,3330,5.9746787179487176e-05,3.0766028846153842e-05
11105,4440,6.2551094252873563e-05,2.5760934318555003e-05
11105,5550,8.634776666666668e-05,4.2600083333333349e-05
11105,6660,6.0559566666666662e-05,2.7302051282051282e-05
11105,7770,5.6611018750000004e-05,2.9036535076530614e-05
11105,8880,3.3706433333333333e-05,1.575363846153846e-05
11105,9990,2.3396866666666666e-05,1.2484993333333332e-05
11105,11100,9.544099999999999e-06,5.7273794871794857e-06
14658,0,1.3863588888888892e-05,5.7561055555555585e-06
14658,1465,2.8054800000000001e-05,1.376408095238096e-05
14658,2930,4.7426147126436783e-05,2.2707021636240706e-05
14658,4395,7.4094733250620336e-05,3.7393101255886962e-05
14658,5860,8.1955533333333332e-05,3.9084148148148148e-05
14658,7325,9.8142101149425285e-05,4.3772335897435897e-05
14658,8790,8.1367033333333336e-05,3.7626393081761004e-05
14658,10255,6.4149766666666674e-05,2.9326774358974366e-05
14658,11720,4.465951333333334e-05,2.1604806410256417e-05
14658,13185,2.7892833333333338e-05,1.3915266666666674e-05
14658,14650,1.2531899999999999e-05,7.4744961538461538e-06
19348,0,1.8502789393939393e-05,1.1819945804195803e-05
19348,1934,3.7791099999999991e-05,1.761713647798741e-05
19348,3868,6.1426566666666666e-05,2.6360225170068028e-05
19348,5802,8.6172666666666669e-05,3.9641346153846149e-05
19348,7736,0.00011013153333333334,4.5276941496598651e-05
19348,9670,0.00013307793333333334,5.8681710256410261e-05
19348,11604,0.00011105263333333333,4.5557585714285718e-05
19348,13538,8.6780099999999986e-05,4.252070303030302e-05
19348,15472,6.1599166666666665e-05,2.825759803921568e-05
19348,17406,3.6955198550724637e-05,1.8862075641025642e-05
19348,19340,1.6538533333333334e-05,9.9468243589743588e-06
25539,0,2.3189354022988504e-05,1.1677876008804108e-05
25539,2553,5.0340100000000003e-05,2.5262930769230769e-05
25539,5106,8.4894899999999999e-05,4.1826677987421382e-05
25539,7659,0.00011662976666666667,4.6209821768707489e-05
