N,K,T1,D1,T2,D2,T3,D3
11105,1110,5.9798385416666664e-06,3.5991839231927707e-06,1.8322146666666667e-05,9.0891362500000016e-06,2.7956309523809525e-05,1.4003905357142857e-05
14658,1465,6.4383788310762643e-06,4.0528358704137386e-06,2.2620714729370008e-05,1.1208019310950186e-05,3.3401864389233958e-05,1.6011004429678852e-05
19348,1934,1.2705316666666669e-05,7.533215384615383e-06,5.6843173076923071e-05,3.0388105725324899e-05,7.7622791666666667e-05,3.4119652777777778e-05
25539,2553,2.042263327674024e-05,1.6133921829891185e-05,4.745703162555345e-05,2.4596560828877011e-05,7.608619969278034e-05,3.7711492610837435e-05
33711,3371,2.4189239733629302e-05,1.5262935572940636e-05,6.8672712941176468e-05,3.2354359999999994e-05,9.0087196078431384e-05,4.1444431372549042e-05
44498,4449,3.0105527974783295e-05,2.1445263468013467e-05,9.6161691080196409e-05,4.8077080316742088e-05,0.0001235997668258793,5.8107579591836742e-05
58737,5873,3.1716629385964908e-05,2.426491063596491e-05,9.4981075000000003e-05,4.6964964705882364e-05,0.00012549258653846154,6.0630246422182471e-05
77532,7753,4.7317677197802196e-05,3.012396890048154e-05,0.00013299187076923076,6.2213403736263709e-05,0.00017680696481178399,6.9754271542553196e-05
102342,10234,6.2257900909090924e-05,3.7331279684601134e-05,0.0002317184681632653,0.00010594021063240109,0.00031065877428571427,0.00017605416134453781
135091,13509,7.5458402868318141e-05,4.90503062672448e-05,0.00024369065846153846,0.00011361842285714286,0.00038780244957264953,0.00014096093550135496
178320,17832,0.00011860026987522285,7.3464816206000519e-05,0.0004120529090909091,0.00023920784390243902,0.00037360264909090907,0.00017802874697674416
235382,23538,0.00017672628382464097,0.00011761778994708995,0.00057078604530612245,0.00033162479204819275,0.00052335491836734698,0.00023589768027210882
310704,31070,0.00019752578510638297,0.00013748424444444437,0.00056591740510638288,0.00029656868263736253,0.00083471881980026058,0.00035384869719387764
410129,41012,0.00019279154090909092,0.00014870990542521995,0.00098656120000000002,0.00038542792857142866,0.00093917278163265308,0.00031992247243725082
541370,54137,0.00022992059306122447,0.00019303324107526883,0.0010421422930612246,0.00048748834786516864,0.0016288547330612245,0.00076597086651685386
714608,71460,0.00028497365457184323,0.00023698224361820206,0.0013989919123076923,0.00066514899108433738,0.0017501249523076924,0.0005685226902325583
943282,94328,0.00064345029826086962,0.00033791758170914556,0.0020067618199999999,0.00094270472413793098,0.0020480095999999997,0.00079539944315789451
1245132,124513,0.00064452430930232567,0.00048353020226007211,0.0029098364571428573,0.0013877563827838827,0.0026545340399999995,0.001270113556279069
1643574,164357,0.00075370980163265303,0.00056616742061570385,0.0035135759999999996,0.0016796206753488365,0.00349778722,0.0013418724605263159
2169517,216951,0.0010674045305821664,0.00072301733623188398,0.0058108264017576895,0.0026125516592592594,0.0058653074645883783,0.0028015801833182648
2863762,286376,0.0015508238042671616,0.0011132039675324677,0.0074607987391156465,0.0034718789217948708,0.0077706673367346941,0.0035906565669642856
3780165,378016,0.0020014376113207549,0.0013960983333333333,0.010069009614892184,0.0043844991332417597,0.011581529073225518,0.0055290005238095245
4989817,498981,0.0025081775968750003,0.0019162522228009264,0.014289285281481483,0.006797771127822946,0.012185311922222223,0.0057137283310829817
